"";"tweetid";"stance";"topic";"moral";"toxic";"act";"vad"
"27";"1218498548590882819_test";"FAVOR";"Bernie Sanders";"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]";"toxic";"sta";"[0.2271875, 0.1915625, 0.20334375000000002]"
"28";"N/A_test";"FAVOR";"Bernie Sanders";"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0]";"non_toxic";"exp";"[0.15135897435897436, 0.105025641025641, 0.12117948717948718]"
"29";"N/A_test";"FAVOR";"Bernie Sanders";"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]";"non_toxic";"oth";"[0.11800000000000001, 0.09123333333333333, 0.11626666666666668]"
"30";"N/A_test";"FAVOR";"Bernie Sanders";"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0]";"non_toxic";"exp";"[0.1385357142857143, 0.08342857142857141, 0.11875]"
"31";"N/A_test";"FAVOR";"Bernie Sanders";"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0]";"non_toxic";"sta";"[0.2946, 0.21693333333333337, 0.2800666666666667]"
"32";"N/A_test";"FAVOR";"Bernie Sanders";"[0, 1, 0, 1, 0, 1, 0, 0, 0, 0]";"toxic";"exp";"[0.22740000000000002, 0.1631142857142857, 0.20214285714285718]"
"33";"1191354045983870977_test";"FAVOR";"Bernie Sanders";"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]";"non_toxic";"sta";"[0.2533684210526316, 0.17957894736842106, 0.2093157894736842]"
"34";"N/A_test";"AGAINST";"Bernie Sanders";"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]";"non_toxic";"que";"[0.17404999999999998, 0.118025, 0.16405]"
"35";"N/A_test";"FAVOR";"Bernie Sanders";"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]";"non_toxic";"sta";"[0.11845833333333333, 0.11429166666666667, 0.09437499999999999]"
"36";"N/A_test";"FAVOR";"Bernie Sanders";"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]";"non_toxic";"oth";"[0.10955555555555557, 0.0775, 0.09305555555555556]"
"37";"1253409705835167744_test";"FAVOR";"Bernie Sanders";"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]";"toxic";"exp";"[0.12217073170731706, 0.10634146341463413, 0.11434146341463414]"
"38";"N/A_test";"FAVOR";"Bernie Sanders";"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]";"non_toxic";"exp";"[0.10628125, 0.0931875, 0.0975625]"
"39";"1222648950831796225_test";"AGAINST";"Bernie Sanders";"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]";"toxic";"sta";"[0.12314285714285714, 0.10442857142857143, 0.12135714285714284]"
"40";"N/A_test";"FAVOR";"Bernie Sanders";"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0]";"non_toxic";"sta";"[0.08486206896551725, 0.05589655172413793, 0.055793103448275864]"
"41";"N/A_test";"FAVOR";"Bernie Sanders";"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0]";"non_toxic";"oth";"[0.1185, 0.0730625, 0.09425]"
"42";"1251111827746029569_test";"FAVOR";"Bernie Sanders";"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]";"non_toxic";"sta";"[0.221, 0.15143478260869567, 0.1808695652173913]"
"43";"N/A_test";"FAVOR";"Bernie Sanders";"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1]";"non_toxic";"sug";"[0.16632000000000002, 0.12036, 0.16712]"
"44";"N/A_test";"FAVOR";"Bernie Sanders";"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]";"toxic";"sta";"[0.106375, 0.1199375, 0.0868125]"
"45";"N/A_test";"FAVOR";"Bernie Sanders";"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0]";"toxic";"exp";"[0.10415909090909091, 0.09231818181818183, 0.09397727272727273]"
"46";"1099874031933816833_test";"FAVOR";"Bernie Sanders";"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]";"non_toxic";"sta";"[0.07788461538461539, 0.07796153846153847, 0.08365384615384615]"
"47";"N/A_test";"AGAINST";"Bernie Sanders";"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]";"non_toxic";"sta";"[0.15003225806451612, 0.11419354838709678, 0.15480645161290324]"
"48";"1233189884485152768_test";"FAVOR";"Bernie Sanders";"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]";"non_toxic";"oth";"[0, 0, 0]"
"49";"N/A_test";"FAVOR";"Bernie Sanders";"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0]";"non_toxic";"oth";"[0.15576923076923077, 0.07511538461538461, 0.13088461538461538]"
"50";"1189075554902986752_test";"FAVOR";"Bernie Sanders";"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]";"non_toxic";"oth";"[0.11138461538461539, 0.06223076923076923, 0.07976923076923076]"
"51";"N/A_test";"FAVOR";"Bernie Sanders";"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]";"non_toxic";"sta";"[0.17116, 0.16655999999999999, 0.20335999999999999]"
"52";"N/A_test";"AGAINST";"Bernie Sanders";"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0]";"non_toxic";"sta";"[0.1416111111111111, 0.1213888888888889, 0.12444444444444445]"
"53";"N/A_test";"FAVOR";"Bernie Sanders";"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]";"non_toxic";"oth";"[0.13737209302325584, 0.08634883720930232, 0.10662790697674418]"
"54";"1166831823361650694_test";"FAVOR";"Bernie Sanders";"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0]";"non_toxic";"sug";"[0.20986363636363636, 0.1651363636363636, 0.19359090909090912]"
"55";"N/A_test";"AGAINST";"Bernie Sanders";"[0, 0, 0, 0, 0, 1, 0, 1, 0, 1]";"non_toxic";"sta";"[0.1861, 0.16803333333333334, 0.18539999999999998]"
"56";"N/A_test";"FAVOR";"Bernie Sanders";"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1]";"non_toxic";"sta";"[0.07341176470588236, 0.06858823529411764, 0.08141176470588235]"
"57";"1173614235135422473_test";"FAVOR";"Bernie Sanders";"[0, 1, 0, 0, 0, 0, 0, 1, 0, 1]";"toxic";"exp";"[0.1906842105263158, 0.14342105263157895, 0.18857894736842104]"
"58";"1118359048607469568_test";"FAVOR";"Bernie Sanders";"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]";"non_toxic";"exp";"[0.11520833333333332, 0.05916666666666667, 0.085]"
"59";"1090112534093410304_test";"AGAINST";"Bernie Sanders";"[0, 1, 0, 0, 0, 1, 0, 1, 0, 0]";"toxic";"oth";"[0.17161538461538461, 0.20400000000000001, 0.23292307692307695]"
"60";"1238516119859867649_test";"FAVOR";"Bernie Sanders";"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1]";"non_toxic";"sta";"[0.17665000000000003, 0.10940000000000001, 0.16310000000000002]"
"61";"N/A_test";"AGAINST";"Bernie Sanders";"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]";"toxic";"sta";"[0.02034285714285714, 0.030428571428571426, 0.02437142857142857]"
"62";"N/A_test";"FAVOR";"Bernie Sanders";"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]";"non_toxic";"exp";"[0.07236842105263158, 0.035789473684210524, 0.055578947368421054]"
"63";"1111000912762490880_test";"FAVOR";"Bernie Sanders";"[0, 1, 0, 1, 0, 0, 0, 1, 0, 0]";"non_toxic";"sta";"[0.157, 0.11074999999999999, 0.16249999999999998]"
"64";"1263589242019565571_test";"FAVOR";"Bernie Sanders";"[0, 0, 1, 0, 1, 0, 0, 1, 0, 0]";"non_toxic";"oth";"[0.06513636363636365, 0.049409090909090916, 0.04972727272727273]"
"65";"N/A_test";"AGAINST";"Bernie Sanders";"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0]";"non_toxic";"oth";"[0.16368181818181818, 0.12731818181818183, 0.1551818181818182]"
"66";"1057218235169415169_test";"FAVOR";"Bernie Sanders";"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]";"non_toxic";"sta";"[0.26028571428571423, 0.2212857142857143, 0.22671428571428573]"
"67";"1188630414635814912_test";"FAVOR";"Bernie Sanders";"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0]";"non_toxic";"sta";"[0.113, 0.1004642857142857, 0.11846428571428572]"
"68";"1240008282514825220_test";"FAVOR";"Bernie Sanders";"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]";"non_toxic";"sta";"[0.11970588235294119, 0.04323529411764706, 0.08805882352941176]"
"69";"1222694224040087553_test";"FAVOR";"Bernie Sanders";"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0]";"non_toxic";"sta";"[0.14614285714285713, 0.10371428571428572, 0.12978571428571428]"
"70";"N/A_test";"AGAINST";"Bernie Sanders";"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0]";"toxic";"exp";"[0.07741666666666668, 0.096125, 0.12441666666666666]"
"71";"N/A_test";"FAVOR";"Bernie Sanders";"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]";"non_toxic";"exp";"[0.18229268292682926, 0.13041463414634144, 0.15695121951219512]"
"72";"1097953386065027074_test";"FAVOR";"Bernie Sanders";"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0]";"non_toxic";"sta";"[0.15464705882352942, 0.13294117647058823, 0.14847058823529413]"
"73";"N/A_test";"FAVOR";"Bernie Sanders";"[1, 0, 0, 1, 0, 1, 0, 0, 0, 0]";"non_toxic";"sug";"[0.22305128205128205, 0.1415897435897436, 0.17423076923076927]"
"74";"N/A_test";"AGAINST";"Bernie Sanders";"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]";"toxic";"exp";"[0.16702702702702707, 0.1284054054054054, 0.14562162162162162]"
"75";"N/A_test";"FAVOR";"Bernie Sanders";"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0]";"non_toxic";"sta";"[0.1213, 0.08113333333333334, 0.09526666666666667]"
"76";"N/A_test";"FAVOR";"Bernie Sanders";"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]";"non_toxic";"sta";"[0.2288, 0.12940000000000002, 0.14953333333333335]"
"77";"1133182000553168896_test";"AGAINST";"Bernie Sanders";"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0]";"non_toxic";"exp";"[0.16527272727272727, 0.08986363636363637, 0.12036363636363637]"
"78";"1115600767098875909_test";"FAVOR";"Bernie Sanders";"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]";"non_toxic";"sta";"[0.0781290322580645, 0.061612903225806454, 0.0702258064516129]"
"79";"N/A_test";"FAVOR";"Bernie Sanders";"[0, 1, 0, 0, 1, 0, 0, 0, 0, 0]";"non_toxic";"sta";"[0.1574, 0.11456666666666666, 0.1618]"
"80";"1187482981612556291_test";"FAVOR";"Bernie Sanders";"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]";"non_toxic";"sta";"[0.2241176470588235, 0.15441176470588236, 0.22670588235294117]"
"81";"N/A_test";"FAVOR";"Bernie Sanders";"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]";"non_toxic";"exp";"[0.09912000000000001, 0.09668000000000002, 0.09756000000000001]"
"82";"N/A_test";"FAVOR";"Bernie Sanders";"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]";"toxic";"sta";"[0.15212195121951216, 0.09919512195121952, 0.13580487804878047]"
"83";"N/A_test";"FAVOR";"Bernie Sanders";"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]";"non_toxic";"exp";"[0.16221621621621624, 0.10348648648648649, 0.15000000000000002]"
"84";"N/A_test";"AGAINST";"Bernie Sanders";"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]";"non_toxic";"oth";"[0.07126666666666666, 0.06983333333333333, 0.06293333333333333]"
"85";"1155853598573694977_test";"FAVOR";"Bernie Sanders";"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]";"non_toxic";"oth";"[0.10576923076923077, 0.1103076923076923, 0.10069230769230769]"
"86";"1168654735890702336_test";"AGAINST";"Bernie Sanders";"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0]";"non_toxic";"sta";"[0.08385714285714287, 0.09004761904761904, 0.08933333333333333]"
"87";"N/A_test";"AGAINST";"Bernie Sanders";"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]";"toxic";"exp";"[0.28688888888888886, 0.15425925925925926, 0.23900000000000002]"
"88";"N/A_test";"FAVOR";"Bernie Sanders";"[0, 1, 0, 0, 0, 1, 0, 0, 0, 1]";"non_toxic";"sug";"[0.1906052631578948, 0.13102631578947369, 0.14565789473684213]"
"89";"1099333592520540161_test";"FAVOR";"Bernie Sanders";"[0, 0, 1, 1, 1, 0, 0, 0, 0, 0]";"non_toxic";"oth";"[0.053157894736842105, 0.03410526315789473, 0.04657894736842105]"
"90";"N/A_test";"FAVOR";"Bernie Sanders";"[0, 1, 0, 1, 0, 1, 0, 0, 0, 0]";"non_toxic";"sta";"[0.201225, 0.15715000000000004, 0.192875]"
"91";"1125070752997416960_test";"FAVOR";"Bernie Sanders";"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]";"non_toxic";"exp";"[0.14776315789473685, 0.10302631578947369, 0.12578947368421053]"
"92";"1167773230322438144_test";"FAVOR";"Bernie Sanders";"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0]";"non_toxic";"exp";"[0.059062500000000004, 0.07871875, 0.0669375]"
"93";"N/A_test";"FAVOR";"Bernie Sanders";"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]";"non_toxic";"exp";"[0.2138684210526316, 0.1639473684210526, 0.20844736842105266]"
"94";"N/A_test";"FAVOR";"Bernie Sanders";"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1]";"non_toxic";"exp";"[0.09676470588235295, 0.060764705882352936, 0.08111764705882353]"
"95";"N/A_test";"FAVOR";"Bernie Sanders";"[0, 0, 1, 0, 1, 0, 0, 0, 0, 0]";"non_toxic";"exp";"[0.1931860465116279, 0.1283720930232558, 0.15409302325581395]"
"96";"1156262574272450560_test";"FAVOR";"Bernie Sanders";"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]";"non_toxic";"sta";"[0.09778571428571428, 0.05557142857142857, 0.08057142857142856]"
"97";"N/A_test";"FAVOR";"Bernie Sanders";"[0, 1, 0, 0, 1, 0, 0, 0, 0, 0]";"non_toxic";"exp";"[0.08860000000000001, 0.06765, 0.084175]"
"98";"N/A_test";"FAVOR";"Bernie Sanders";"[0, 0, 1, 0, 1, 0, 0, 0, 0, 0]";"toxic";"exp";"[0.11084615384615386, 0.19674358974358971, 0.15648717948717952]"
"99";"1210341464347201536_test";"FAVOR";"Bernie Sanders";"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]";"non_toxic";"sta";"[0.15658333333333332, 0.11958333333333333, 0.14541666666666667]"
"100";"1166495583529512960_test";"FAVOR";"Bernie Sanders";"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0]";"non_toxic";"exp";"[0.2090645161290323, 0.15777419354838707, 0.19216129032258067]"
"101";"N/A_test";"FAVOR";"Bernie Sanders";"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]";"non_toxic";"sta";"[0.2265625, 0.14256249999999998, 0.2084375]"
"102";"N/A_test";"FAVOR";"Bernie Sanders";"[0, 1, 0, 1, 0, 1, 0, 0, 0, 0]";"toxic";"sta";"[0.07777777777777778, 0.11533333333333333, 0.10755555555555556]"
"103";"1197952818788884481_test";"FAVOR";"Bernie Sanders";"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]";"non_toxic";"sta";"[0.15891666666666668, 0.07945833333333334, 0.12366666666666666]"
"104";"N/A_test";"FAVOR";"Bernie Sanders";"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0]";"non_toxic";"sta";"[0.1410909090909091, 0.10072727272727273, 0.14827272727272728]"
"105";"1089446313106817025_test";"AGAINST";"Bernie Sanders";"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]";"toxic";"exp";"[0.1813777777777778, 0.17706666666666668, 0.16506666666666667]"
"106";"N/A_test";"FAVOR";"Bernie Sanders";"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]";"non_toxic";"sta";"[0.059666666666666666, 0.04245833333333334, 0.041875]"
"107";"1263155186807250945_test";"FAVOR";"Bernie Sanders";"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0]";"non_toxic";"que";"[0.17427999999999996, 0.13504, 0.15959999999999996]"
"108";"N/A_test";"FAVOR";"Bernie Sanders";"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]";"non_toxic";"exp";"[0.28064516129032263, 0.18880645161290324, 0.2509677419354838]"
"109";"N/A_test";"FAVOR";"Bernie Sanders";"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0]";"non_toxic";"exp";"[0.14456521739130435, 0.15973913043478263, 0.1717391304347826]"
"110";"1149152409903620096_test";"AGAINST";"Bernie Sanders";"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]";"non_toxic";"exp";"[0.2796842105263158, 0.1758421052631579, 0.24847368421052632]"
"111";"1167086372894588928_test";"FAVOR";"Bernie Sanders";"[0, 1, 0, 0, 0, 1, 0, 1, 0, 0]";"non_toxic";"exp";"[0.18938888888888888, 0.15455555555555556, 0.1777777777777778]"
"112";"N/A_test";"FAVOR";"Bernie Sanders";"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]";"non_toxic";"exp";"[0.16191666666666668, 0.14036111111111113, 0.15580555555555556]"
"113";"1249051065284059136_test";"FAVOR";"Bernie Sanders";"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]";"non_toxic";"sta";"[0.16036842105263158, 0.1391842105263158, 0.17705263157894735]"
"114";"1156710467626315776_test";"AGAINST";"Bernie Sanders";"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]";"toxic";"oth";"[0.08418421052631579, 0.07139473684210526, 0.07868421052631579]"
"115";"N/A_test";"AGAINST";"Bernie Sanders";"[0, 0, 0, 1, 0, 0, 0, 1, 0, 1]";"non_toxic";"sta";"[0, 0, 0]"
"116";"N/A_test";"FAVOR";"Bernie Sanders";"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]";"toxic";"oth";"[0.13167567567567567, 0.1603783783783784, 0.14108108108108108]"
"117";"N/A_test";"AGAINST";"Bernie Sanders";"[0, 1, 0, 1, 0, 1, 0, 0, 0, 0]";"non_toxic";"exp";"[0.14231249999999998, 0.10799999999999998, 0.14262499999999997]"
"118";"1188555018544259079_test";"FAVOR";"Bernie Sanders";"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]";"non_toxic";"sta";"[0.03260869565217391, 0.036869565217391306, 0.03856521739130435]"
"119";"N/A_test";"FAVOR";"Bernie Sanders";"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0]";"non_toxic";"sug";"[0.10729729729729728, 0.07251351351351351, 0.09921621621621622]"
"120";"N/A_test";"FAVOR";"Bernie Sanders";"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]";"non_toxic";"sta";"[0.17954545454545456, 0.1144090909090909, 0.15234090909090908]"
"121";"N/A_test";"FAVOR";"Bernie Sanders";"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]";"non_toxic";"sug";"[0.17105128205128206, 0.12800000000000003, 0.14202564102564103]"
"122";"1210583328484712448_test";"FAVOR";"Bernie Sanders";"[0, 1, 0, 1, 0, 1, 0, 0, 0, 0]";"non_toxic";"sta";"[0.14883870967741936, 0.12206451612903226, 0.14751612903225808]"
"123";"N/A_test";"FAVOR";"Bernie Sanders";"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]";"non_toxic";"exp";"[0.20732258064516132, 0.1510645161290322, 0.21032258064516127]"
"124";"N/A_test";"FAVOR";"Bernie Sanders";"[0, 0, 1, 0, 1, 0, 0, 0, 0, 0]";"non_toxic";"sug";"[0, 0, 0]"
"125";"N/A_test";"FAVOR";"Bernie Sanders";"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0]";"non_toxic";"sta";"[0.1917, 0.124825, 0.16044999999999998]"
"126";"N/A_test";"FAVOR";"Bernie Sanders";"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]";"non_toxic";"sug";"[0.10215384615384614, 0.07638461538461538, 0.08215384615384616]"
"127";"1222728188582879238_test";"FAVOR";"Bernie Sanders";"[0, 1, 0, 0, 1, 0, 0, 0, 0, 0]";"non_toxic";"exp";"[0.15605555555555556, 0.09255555555555556, 0.10922222222222222]"
"128";"N/A_test";"FAVOR";"Bernie Sanders";"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]";"non_toxic";"sug";"[0.22810256410256413, 0.1174102564102564, 0.184025641025641]"
"129";"1130655778421891073_test";"FAVOR";"Bernie Sanders";"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]";"non_toxic";"exp";"[0.13, 0.10106666666666667, 0.12833333333333333]"
"130";"N/A_test";"FAVOR";"Bernie Sanders";"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0]";"non_toxic";"oth";"[0.17775675675675676, 0.1344324324324324, 0.19229729729729728]"
"131";"1174510255306358784_test";"FAVOR";"Bernie Sanders";"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]";"non_toxic";"exp";"[0.25437499999999996, 0.18415, 0.22117500000000004]"
"132";"N/A_test";"FAVOR";"Bernie Sanders";"[0, 0, 1, 0, 1, 0, 0, 0, 0, 0]";"toxic";"exp";"[0.09017857142857143, 0.07025, 0.09739285714285716]"
"133";"N/A_test";"FAVOR";"Bernie Sanders";"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]";"non_toxic";"sta";"[0.108, 0.10378378378378378, 0.12199999999999998]"
"134";"1211734177910935557_test";"FAVOR";"Bernie Sanders";"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]";"non_toxic";"exp";"[0.14453846153846153, 0.10353846153846155, 0.13984615384615384]"
"135";"1234399236743192576_test";"AGAINST";"Bernie Sanders";"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]";"non_toxic";"sta";"[0.13546153846153847, 0.1466923076923077, 0.12692307692307692]"
