"";"tweetid";"stance";"topic";"moral";"toxic";"act";"vad"
"35";"N/A_test";"AGAINST";"Donald Trump";"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0]";"toxic";"sug";"[0.1527916666666667, 0.15183333333333335, 0.15116666666666667]"
"36";"1068628268579020800_test";"AGAINST";"Donald Trump";"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]";"toxic";"oth";"[0.07481818181818181, 0.0795, 0.09904545454545456]"
"37";"N/A_test";"AGAINST";"Donald Trump";"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]";"toxic";"sta";"[0.08317241379310346, 0.05362068965517241, 0.06413793103448276]"
"38";"N/A_test";"AGAINST";"Donald Trump";"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]";"toxic";"que";"[0.17551851851851855, 0.09822222222222221, 0.1479259259259259]"
"39";"N/A_test";"AGAINST";"Donald Trump";"[0, 1, 0, 0, 0, 1, 1, 0, 0, 0]";"non_toxic";"exp";"[0.15016000000000002, 0.14384, 0.17348]"
"40";"N/A_test";"AGAINST";"Donald Trump";"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]";"non_toxic";"exp";"[0.059681818181818176, 0.025909090909090906, 0.063]"
"41";"1155406006215684096_test";"AGAINST";"Donald Trump";"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0]";"non_toxic";"oth";"[0.056280000000000004, 0.09635999999999999, 0.07980000000000001]"
"42";"968966737478766592_test";"AGAINST";"Donald Trump";"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]";"toxic";"sta";"[0.0735, 0.06427777777777778, 0.08866666666666667]"
"43";"1255910080870060038_test";"AGAINST";"Donald Trump";"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]";"toxic";"oth";"[0.16153846153846155, 0.13638461538461538, 0.15846153846153846]"
"44";"N/A_test";"AGAINST";"Donald Trump";"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]";"non_toxic";"sug";"[0.08109999999999999, 0.0467, 0.074]"
"45";"N/A_test";"AGAINST";"Donald Trump";"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]";"toxic";"oth";"[0.0858421052631579, 0.07942105263157895, 0.10684210526315789]"
"46";"1267498322274799617_test";"AGAINST";"Donald Trump";"[0, 1, 0, 1, 1, 0, 0, 0, 0, 0]";"toxic";"exp";"[0.06433333333333333, 0.06972222222222221, 0.08222222222222222]"
"47";"1024405016554033153_test";"AGAINST";"Donald Trump";"[0, 0, 0, 0, 0, 1, 0, 1, 0, 0]";"non_toxic";"oth";"[0.12754545454545455, 0.14027272727272727, 0.1489090909090909]"
"48";"958747407533015040_test";"AGAINST";"Donald Trump";"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]";"toxic";"oth";"[0.017833333333333333, 0.06583333333333334, 0.03775]"
"49";"N/A_test";"AGAINST";"Donald Trump";"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]";"non_toxic";"oth";"[0.13647222222222222, 0.10252777777777776, 0.1299722222222222]"
"50";"1002317077611413506_test";"AGAINST";"Donald Trump";"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0]";"non_toxic";"oth";"[0.19103571428571425, 0.14185714285714288, 0.16260714285714287]"
"51";"N/A_test";"AGAINST";"Donald Trump";"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0]";"toxic";"sta";"[0.1091142857142857, 0.18145714285714284, 0.1255142857142857]"
"52";"1110719376305451008_test";"AGAINST";"Donald Trump";"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]";"non_toxic";"sta";"[0.1185909090909091, 0.08013636363636363, 0.1089090909090909]"
"53";"N/A_test";"AGAINST";"Donald Trump";"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]";"non_toxic";"sta";"[0.16686842105263158, 0.09186842105263159, 0.12955263157894736]"
"54";"N/A_test";"FAVOR";"Donald Trump";"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0]";"non_toxic";"oth";"[0.05960000000000001, 0.03913333333333333, 0.046233333333333335]"
"55";"1261286582834741249_test";"AGAINST";"Donald Trump";"[0, 1, 0, 1, 0, 0, 0, 0, 0, 1]";"toxic";"sta";"[0.07306666666666667, 0.060866666666666666, 0.08373333333333334]"
"56";"1166815371183177728_test";"AGAINST";"Donald Trump";"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1]";"toxic";"oth";"[0.11754838709677419, 0.10448387096774193, 0.0973225806451613]"
"57";"N/A_test";"AGAINST";"Donald Trump";"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]";"non_toxic";"oth";"[0.21155555555555558, 0.14794444444444446, 0.17983333333333335]"
"58";"N/A_test";"AGAINST";"Donald Trump";"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0]";"toxic";"exp";"[0.1523863636363636, 0.12224999999999998, 0.1379318181818182]"
"59";"N/A_test";"FAVOR";"Donald Trump";"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0]";"toxic";"que";"[0.0699705882352941, 0.04902941176470588, 0.04797058823529412]"
"60";"1011374018501447680_test";"AGAINST";"Donald Trump";"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0]";"toxic";"exp";"[0.07227777777777779, 0.05322222222222222, 0.06411111111111112]"
"61";"N/A_test";"FAVOR";"Donald Trump";"[0, 0, 0, 1, 0, 1, 0, 0, 0, 1]";"non_toxic";"oth";"[0.1353421052631579, 0.11789473684210527, 0.12744736842105264]"
"62";"1167867702569881600_test";"AGAINST";"Donald Trump";"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0]";"non_toxic";"sta";"[0.12481818181818181, 0.05281818181818181, 0.08245454545454546]"
"63";"N/A_test";"AGAINST";"Donald Trump";"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]";"non_toxic";"sta";"[0.058166666666666665, 0.02775, 0.046250000000000006]"
"64";"N/A_test";"AGAINST";"Donald Trump";"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]";"non_toxic";"sta";"[0.11172727272727273, 0.07163636363636364, 0.127]"
"65";"N/A_test";"AGAINST";"Donald Trump";"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0]";"non_toxic";"exp";"[0.1239090909090909, 0.08824242424242423, 0.11499999999999999]"
"66";"1248274766517227520_test";"FAVOR";"Donald Trump";"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]";"non_toxic";"oth";"[0.12834782608695652, 0.1102608695652174, 0.11165217391304347]"
"67";"N/A_test";"FAVOR";"Donald Trump";"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]";"non_toxic";"exp";"[0.07557575757575757, 0.07836363636363636, 0.10093939393939393]"
"68";"N/A_test";"AGAINST";"Donald Trump";"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]";"non_toxic";"sta";"[0.18395454545454548, 0.1225909090909091, 0.15800000000000003]"
"69";"N/A_test";"FAVOR";"Donald Trump";"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0]";"non_toxic";"sta";"[0.17604347826086958, 0.15630434782608696, 0.1683913043478261]"
"70";"N/A_test";"FAVOR";"Donald Trump";"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]";"toxic";"oth";"[0.13594285714285714, 0.14614285714285716, 0.12977142857142857]"
"71";"1256342385879064576_test";"AGAINST";"Donald Trump";"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]";"non_toxic";"sta";"[0.09454545454545454, 0.07090909090909091, 0.07009090909090909]"
"72";"N/A_test";"AGAINST";"Donald Trump";"[0, 1, 0, 1, 0, 0, 0, 1, 0, 0]";"non_toxic";"sta";"[0.15111764705882352, 0.08520588235294119, 0.14335294117647057]"
"73";"N/A_test";"AGAINST";"Donald Trump";"[0, 0, 1, 0, 1, 0, 0, 0, 1, 0]";"non_toxic";"exp";"[0.0811764705882353, 0.043176470588235295, 0.06847058823529412]"
"74";"1257056936383692800_test";"AGAINST";"Donald Trump";"[0, 1, 0, 0, 1, 0, 0, 0, 0, 0]";"non_toxic";"exp";"[0.23575000000000002, 0.138875, 0.18478125]"
"75";"N/A_test";"AGAINST";"Donald Trump";"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1]";"non_toxic";"oth";"[0.16308, 0.12304, 0.13732]"
"76";"N/A_test";"FAVOR";"Donald Trump";"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1]";"non_toxic";"oth";"[0.07404166666666667, 0.044583333333333336, 0.05399999999999999]"
"77";"N/A_test";"AGAINST";"Donald Trump";"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]";"toxic";"oth";"[0, 0, 0]"
"78";"N/A_test";"AGAINST";"Donald Trump";"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]";"non_toxic";"sta";"[0.03613333333333334, 0.05246666666666667, 0.0362]"
"79";"N/A_test";"AGAINST";"Donald Trump";"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0]";"toxic";"oth";"[0.26796875, 0.29712500000000003, 0.3211562499999999]"
"80";"1244381458598420481_test";"AGAINST";"Donald Trump";"[0, 1, 0, 0, 0, 0, 0, 1, 0, 1]";"toxic";"sta";"[0.068025, 0.092275, 0.074325]"
"81";"1273352210592804864_test";"AGAINST";"Donald Trump";"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]";"toxic";"sta";"[0.14291666666666666, 0.09829166666666667, 0.13525]"
"82";"1262029150266839041_test";"AGAINST";"Donald Trump";"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]";"non_toxic";"sta";"[0.2394736842105263, 0.14305263157894738, 0.20957894736842106]"
"83";"N/A_test";"AGAINST";"Donald Trump";"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0]";"toxic";"sta";"[0.13334782608695653, 0.12182608695652172, 0.13091304347826085]"
"84";"N/A_test";"AGAINST";"Donald Trump";"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]";"non_toxic";"exp";"[0.041105263157894735, 0.019473684210526317, 0.035894736842105264]"
"85";"1044696336145272832_test";"AGAINST";"Donald Trump";"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0]";"non_toxic";"sta";"[0.08468181818181818, 0.06640909090909092, 0.08004545454545453]"
"86";"1034642692301578241_test";"AGAINST";"Donald Trump";"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0]";"toxic";"exp";"[0.19194117647058823, 0.2816470588235294, 0.23641176470588232]"
"87";"1274125375279267840_test";"AGAINST";"Donald Trump";"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]";"non_toxic";"sta";"[0.1358888888888889, 0.1031111111111111, 0.11522222222222224]"
"88";"1046065272086581250_test";"AGAINST";"Donald Trump";"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]";"non_toxic";"oth";"[0.055125, 0.063375, 0.060375]"
"89";"1090218009245958144_test";"AGAINST";"Donald Trump";"[0, 1, 0, 1, 0, 0, 0, 0, 0, 1]";"toxic";"exp";"[0.1467857142857143, 0.16760714285714287, 0.16960714285714287]"
"90";"1156251144693452800_test";"AGAINST";"Donald Trump";"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]";"toxic";"sug";"[0.10778260869565218, 0.06430434782608696, 0.0806086956521739]"
"91";"1221897102193721344_test";"AGAINST";"Donald Trump";"[0, 1, 0, 1, 0, 0, 0, 0, 0, 1]";"non_toxic";"oth";"[0.19406666666666667, 0.15633333333333335, 0.18586666666666668]"
"92";"1122130007533531137_test";"AGAINST";"Donald Trump";"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]";"non_toxic";"exp";"[0.2841578947368421, 0.15757894736842104, 0.21810526315789475]"
"93";"N/A_test";"AGAINST";"Donald Trump";"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1]";"non_toxic";"exp";"[0.2558571428571429, 0.12892857142857142, 0.1749285714285714]"
"94";"N/A_test";"AGAINST";"Donald Trump";"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0]";"toxic";"exp";"[0, 0, 0]"
"95";"N/A_test";"AGAINST";"Donald Trump";"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1]";"toxic";"exp";"[0.06721875000000001, 0.10109375, 0.09118749999999999]"
"96";"N/A_test";"AGAINST";"Donald Trump";"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]";"toxic";"sta";"[0.09395454545454546, 0.09677272727272727, 0.09454545454545454]"
"97";"1046180094056718336_test";"AGAINST";"Donald Trump";"[0, 1, 0, 1, 0, 0, 1, 0, 0, 0]";"toxic";"sta";"[0.121125, 0.17406249999999998, 0.17049999999999998]"
"98";"N/A_test";"AGAINST";"Donald Trump";"[0, 1, 0, 1, 0, 0, 0, 0, 0, 1]";"non_toxic";"sta";"[0.1947142857142857, 0.21178571428571424, 0.22664285714285715]"
"99";"N/A_test";"AGAINST";"Donald Trump";"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]";"toxic";"exp";"[0.12261290322580645, 0.1294193548387097, 0.14516129032258066]"
"100";"N/A_test";"AGAINST";"Donald Trump";"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0]";"toxic";"sta";"[0.10148275862068966, 0.11841379310344828, 0.10841379310344829]"
"101";"N/A_test";"AGAINST";"Donald Trump";"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0]";"toxic";"oth";"[0.0859, 0.053000000000000005, 0.052849999999999994]"
"102";"N/A_test";"AGAINST";"Donald Trump";"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]";"non_toxic";"oth";"[0.1285, 0.07692307692307693, 0.12126923076923075]"
"103";"N/A_test";"FAVOR";"Donald Trump";"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]";"non_toxic";"oth";"[0.10988235294117646, 0.05552941176470588, 0.08858823529411765]"
"104";"1122029770135560192_test";"FAVOR";"Donald Trump";"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0]";"non_toxic";"exp";"[0.08778571428571429, 0.05671428571428572, 0.06357142857142857]"
"105";"1243590776472457217_test";"FAVOR";"Donald Trump";"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]";"toxic";"sta";"[0.25005263157894736, 0.17400000000000002, 0.23468421052631577]"
"106";"N/A_test";"FAVOR";"Donald Trump";"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0]";"non_toxic";"exp";"[0.12832000000000002, 0.08172, 0.13336]"
"107";"N/A_test";"FAVOR";"Donald Trump";"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]";"non_toxic";"exp";"[0.14644444444444443, 0.10048148148148149, 0.12933333333333333]"
"108";"N/A_test";"FAVOR";"Donald Trump";"[1, 0, 1, 0, 0, 0, 1, 0, 0, 0]";"non_toxic";"exp";"[0.2202666666666667, 0.13093333333333332, 0.16113333333333332]"
"109";"N/A_test";"FAVOR";"Donald Trump";"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0]";"non_toxic";"sta";"[0.08620833333333333, 0.044500000000000005, 0.068125]"
"110";"1243594055100952577_test";"FAVOR";"Donald Trump";"[0, 0, 1, 0, 1, 0, 0, 0, 0, 0]";"toxic";"sug";"[0.18062499999999998, 0.15862499999999996, 0.1744]"
"111";"1261120664532144128_test";"FAVOR";"Donald Trump";"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]";"toxic";"sta";"[0.19375, 0.1476875, 0.17525000000000002]"
"112";"N/A_test";"FAVOR";"Donald Trump";"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0]";"non_toxic";"oth";"[0.1102, 0.12816666666666668, 0.11783333333333332]"
"113";"N/A_test";"FAVOR";"Donald Trump";"[0, 1, 0, 1, 0, 1, 0, 0, 0, 0]";"non_toxic";"sta";"[0.15135294117647058, 0.09023529411764707, 0.1332941176470588]"
"114";"N/A_test";"FAVOR";"Donald Trump";"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]";"non_toxic";"exp";"[0.13724242424242428, 0.12118181818181818, 0.15327272727272725]"
"115";"1274042884011016195_test";"FAVOR";"Donald Trump";"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]";"non_toxic";"exp";"[0.077, 0.04442857142857143, 0.07107142857142858]"
"116";"N/A_test";"FAVOR";"Donald Trump";"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0]";"non_toxic";"exp";"[0.16433333333333333, 0.1588888888888889, 0.16177777777777777]"
"117";"N/A_test";"FAVOR";"Donald Trump";"[1, 0, 1, 0, 0, 0, 1, 0, 0, 0]";"toxic";"exp";"[0.09835714285714285, 0.1295714285714286, 0.1308214285714286]"
"118";"N/A_test";"FAVOR";"Donald Trump";"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]";"non_toxic";"sta";"[0.15207407407407406, 0.12218518518518516, 0.12374074074074073]"
"119";"N/A_test";"AGAINST";"Donald Trump";"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]";"toxic";"oth";"[0.145, 0.10858064516129032, 0.1160967741935484]"
"120";"N/A_test";"AGAINST";"Donald Trump";"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]";"non_toxic";"sta";"[0.30177777777777776, 0.2198888888888889, 0.2637222222222222]"
"121";"1098351532750327808_test";"AGAINST";"Donald Trump";"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1]";"non_toxic";"oth";"[0, 0, 0]"
"122";"N/A_test";"AGAINST";"Donald Trump";"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]";"toxic";"oth";"[0.18543333333333337, 0.15806666666666666, 0.20066666666666666]"
"123";"1029806670333931520_test";"AGAINST";"Donald Trump";"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0]";"non_toxic";"exp";"[0.056842105263157895, 0.09844736842105264, 0.08555263157894737]"
"124";"986774539295186944_test";"AGAINST";"Donald Trump";"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]";"toxic";"oth";"[0.038, 0.08414285714285714, 0.05071428571428571]"
"125";"N/A_test";"AGAINST";"Donald Trump";"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]";"toxic";"oth";"[0.08617142857142857, 0.074, 0.07688571428571428]"
"126";"N/A_test";"AGAINST";"Donald Trump";"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]";"toxic";"sta";"[0.10117142857142855, 0.10239999999999999, 0.11431428571428573]"
"127";"N/A_test";"AGAINST";"Donald Trump";"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]";"toxic";"oth";"[0.080625, 0.07190624999999999, 0.07925]"
"128";"1108727355365744640_test";"AGAINST";"Donald Trump";"[0, 0, 0, 0, 0, 1, 0, 1, 0, 0]";"toxic";"exp";"[0.03870588235294117, 0.04105882352941176, 0.04241176470588236]"
"129";"N/A_test";"AGAINST";"Donald Trump";"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0]";"non_toxic";"oth";"[0.2403529411764706, 0.1807058823529412, 0.22435294117647056]"
"130";"N/A_test";"AGAINST";"Donald Trump";"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0]";"toxic";"oth";"[0.006578947368421052, 0.03289473684210526, 0.01963157894736842]"
"131";"N/A_test";"AGAINST";"Donald Trump";"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]";"non_toxic";"sta";"[0.14748484848484852, 0.1298181818181818, 0.1535454545454545]"
"132";"1081247679664013312_test";"AGAINST";"Donald Trump";"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0]";"non_toxic";"oth";"[0.0275, 0.05216666666666667, 0.036111111111111115]"
"133";"1177085139005784064_test";"AGAINST";"Donald Trump";"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0]";"toxic";"exp";"[0.10256521739130435, 0.107, 0.12221739130434782]"
"134";"N/A_test";"AGAINST";"Donald Trump";"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]";"toxic";"exp";"[0.18050000000000002, 0.20504347826086952, 0.19073913043478263]"
"135";"N/A_test";"AGAINST";"Donald Trump";"[0, 1, 0, 0, 1, 0, 0, 1, 0, 0]";"non_toxic";"exp";"[0.09633333333333333, 0.12979166666666667, 0.12424999999999999]"
"136";"1080782788901642241_test";"AGAINST";"Donald Trump";"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]";"toxic";"oth";"[0.1301578947368421, 0.13405263157894734, 0.12721052631578947]"
"137";"979889583063105536_test";"AGAINST";"Donald Trump";"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0]";"non_toxic";"oth";"[0.10622222222222222, 0.06174074074074074, 0.09874074074074074]"
"138";"1032639470171049984_test";"AGAINST";"Donald Trump";"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0]";"toxic";"exp";"[0, 0, 0]"
"139";"1055504978335285248_test";"AGAINST";"Donald Trump";"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]";"non_toxic";"exp";"[0.06795238095238096, 0.029952380952380953, 0.05461904761904762]"
