"";"tweetid";"stance";"topic";"moral";"toxic";"act";"vad"
"59";"N/A_test";"AGAINST";"Joe Biden";"[0, 1, 0, 0, 1, 0, 0, 0, 1, 0]";"toxic";"sta";"[0.09480000000000001, 0.09933333333333333, 0.07593333333333334]"
"60";"N/A_test";"AGAINST";"Joe Biden";"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]";"toxic";"exp";"[0.16206666666666664, 0.16046666666666667, 0.1602]"
"61";"1130197690669649920_test";"AGAINST";"Joe Biden";"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0]";"toxic";"exp";"[0.11134615384615384, 0.11746153846153845, 0.11765384615384616]"
"62";"1151328548386271233_test";"AGAINST";"Joe Biden";"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]";"toxic";"exp";"[0.15868749999999998, 0.13306250000000003, 0.1106875]"
"63";"N/A_test";"AGAINST";"Joe Biden";"[0, 0, 0, 1, 0, 0, 0, 1, 0, 1]";"non_toxic";"sug";"[0.15275000000000002, 0.1124375, 0.12234375]"
"64";"N/A_test";"AGAINST";"Joe Biden";"[0, 1, 0, 1, 0, 0, 0, 0, 0, 1]";"non_toxic";"sta";"[0.1395357142857143, 0.10503571428571427, 0.14192857142857143]"
"65";"N/A_test";"AGAINST";"Joe Biden";"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]";"toxic";"exp";"[0.11628124999999999, 0.07565625000000001, 0.1060625]"
"66";"N/A_test";"AGAINST";"Joe Biden";"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1]";"non_toxic";"sta";"[0.08988, 0.09536, 0.08664]"
"67";"N/A_test";"AGAINST";"Joe Biden";"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0]";"non_toxic";"exp";"[0.0595, 0.024666666666666667, 0.04558333333333334]"
"68";"N/A_test";"AGAINST";"Joe Biden";"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]";"toxic";"exp";"[0.08635294117647059, 0.09464705882352942, 0.11670588235294119]"
"69";"N/A_test";"AGAINST";"Joe Biden";"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0]";"non_toxic";"sta";"[0.17876190476190476, 0.1069047619047619, 0.14476190476190479]"
"70";"N/A_test";"AGAINST";"Joe Biden";"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0]";"non_toxic";"exp";"[0.1128, 0.10313333333333334, 0.08606666666666667]"
"71";"N/A_test";"AGAINST";"Joe Biden";"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]";"toxic";"sta";"[0.1457272727272727, 0.12139393939393937, 0.14436363636363633]"
"72";"N/A_test";"AGAINST";"Joe Biden";"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1]";"toxic";"sta";"[0.07336363636363635, 0.05881818181818182, 0.07]"
"73";"N/A_test";"AGAINST";"Joe Biden";"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]";"toxic";"exp";"[0.1534347826086957, 0.11391304347826085, 0.13608695652173916]"
"74";"1261098846999977984_test";"AGAINST";"Joe Biden";"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]";"non_toxic";"sta";"[0.28481249999999997, 0.1875625, 0.20274999999999999]"
"75";"N/A_test";"AGAINST";"Joe Biden";"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0]";"non_toxic";"exp";"[0.1706875, 0.12159375, 0.15981249999999997]"
"76";"N/A_test";"AGAINST";"Joe Biden";"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]";"toxic";"sta";"[0.12164285714285714, 0.07214285714285715, 0.076]"
"77";"N/A_test";"AGAINST";"Joe Biden";"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]";"toxic";"exp";"[0.03058823529411765, 0.08070588235294117, 0.06582352941176471]"
"78";"N/A_test";"AGAINST";"Joe Biden";"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]";"non_toxic";"sug";"[0.189825, 0.10915, 0.165825]"
"79";"1242987592322334721_test";"AGAINST";"Joe Biden";"[0, 1, 1, 0, 0, 0, 0, 1, 0, 0]";"non_toxic";"sta";"[0.11557142857142857, 0.09471428571428572, 0.09657142857142857]"
"80";"N/A_test";"AGAINST";"Joe Biden";"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1]";"toxic";"exp";"[0.10627272727272727, 0.11315151515151516, 0.11187878787878787]"
"81";"N/A_test";"AGAINST";"Joe Biden";"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]";"toxic";"exp";"[0.1306923076923077, 0.1123076923076923, 0.1325769230769231]"
"82";"N/A_test";"AGAINST";"Joe Biden";"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0]";"non_toxic";"sta";"[0.1494375, 0.1031875, 0.1280625]"
"83";"1242951793673416705_test";"AGAINST";"Joe Biden";"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]";"non_toxic";"sta";"[0.16171428571428573, 0.15471428571428572, 0.13707142857142857]"
"84";"1260014998371184640_test";"AGAINST";"Joe Biden";"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]";"non_toxic";"sta";"[0.08368421052631578, 0.05831578947368422, 0.07210526315789474]"
"85";"N/A_test";"AGAINST";"Joe Biden";"[0, 0, 1, 0, 1, 0, 0, 0, 0, 0]";"toxic";"sta";"[0.040928571428571425, 0.02142857142857143, 0.02964285714285714]"
"86";"N/A_test";"AGAINST";"Joe Biden";"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0]";"toxic";"exp";"[0.131, 0.07071875, 0.11115625]"
"87";"1264240384223281153_test";"AGAINST";"Joe Biden";"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]";"non_toxic";"sta";"[0.22359090909090906, 0.17977272727272728, 0.1949090909090909]"
"88";"1245728064769675265_test";"FAVOR";"Joe Biden";"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1]";"non_toxic";"exp";"[0.28592307692307695, 0.25038461538461537, 0.2676923076923077]"
"89";"N/A_test";"FAVOR";"Joe Biden";"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0]";"non_toxic";"exp";"[0.04072727272727273, 0.029772727272727274, 0.024363636363636365]"
"90";"N/A_test";"AGAINST";"Joe Biden";"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]";"toxic";"sta";"[0.11376923076923078, 0.092, 0.07846153846153846]"
"91";"1206686872182890498_test";"AGAINST";"Joe Biden";"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]";"non_toxic";"exp";"[0.1652941176470588, 0.19958823529411762, 0.18300000000000002]"
"92";"N/A_test";"AGAINST";"Joe Biden";"[0, 1, 0, 1, 0, 1, 0, 0, 0, 0]";"toxic";"sta";"[0.20178571428571423, 0.20942857142857144, 0.21642857142857144]"
"93";"N/A_test";"AGAINST";"Joe Biden";"[0, 1, 0, 1, 0, 1, 0, 0, 0, 0]";"non_toxic";"exp";"[0.13466666666666668, 0.116375, 0.142875]"
"94";"1198233991251406848_test";"AGAINST";"Joe Biden";"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]";"toxic";"sta";"[0.076, 0.06126666666666667, 0.03713333333333333]"
"95";"N/A_test";"AGAINST";"Joe Biden";"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]";"non_toxic";"sta";"[0.13844444444444445, 0.11183333333333333, 0.15816666666666668]"
"96";"N/A_test";"AGAINST";"Joe Biden";"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0]";"non_toxic";"sta";"[0.098, 0.06154545454545455, 0.07277272727272727]"
"97";"N/A_test";"AGAINST";"Joe Biden";"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]";"non_toxic";"exp";"[0.21826666666666666, 0.1694, 0.16873333333333335]"
"98";"1267107922234028032_test";"AGAINST";"Joe Biden";"[0, 0, 1, 0, 1, 0, 0, 0, 0, 0]";"toxic";"exp";"[0.11358823529411766, 0.12923529411764703, 0.10741176470588236]"
"99";"1250435359441162241_test";"AGAINST";"Joe Biden";"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]";"non_toxic";"exp";"[0.09226666666666666, 0.08866666666666667, 0.08123333333333332]"
"100";"1250902812864602118_test";"AGAINST";"Joe Biden";"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]";"non_toxic";"oth";"[0.15399999999999997, 0.09361538461538463, 0.1322307692307692]"
"101";"N/A_test";"AGAINST";"Joe Biden";"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0]";"non_toxic";"exp";"[0.16041176470588236, 0.10829411764705883, 0.1452941176470588]"
"102";"1270379399163056135_test";"AGAINST";"Joe Biden";"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]";"toxic";"sta";"[0.058133333333333335, 0.0586, 0.06193333333333333]"
"103";"N/A_test";"AGAINST";"Joe Biden";"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]";"toxic";"exp";"[0.07920930232558139, 0.0983953488372093, 0.11246511627906977]"
"104";"1263839663455735809_test";"AGAINST";"Joe Biden";"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]";"toxic";"exp";"[0.15548717948717947, 0.12064102564102565, 0.13712820512820512]"
"105";"1259467785996062722_test";"AGAINST";"Joe Biden";"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]";"toxic";"sta";"[0.1858125, 0.1844375, 0.16968750000000002]"
"106";"N/A_test";"AGAINST";"Joe Biden";"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1]";"non_toxic";"sta";"[0, 0, 0]"
"107";"1239951463905816576_test";"AGAINST";"Joe Biden";"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]";"non_toxic";"sta";"[0.091, 0.05814999999999999, 0.08380000000000001]"
"108";"N/A_test";"AGAINST";"Joe Biden";"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1]";"toxic";"exp";"[0.17593333333333333, 0.1297777777777778, 0.14268888888888887]"
"109";"N/A_test";"AGAINST";"Joe Biden";"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]";"non_toxic";"exp";"[0, 0, 0]"
"110";"N/A_test";"AGAINST";"Joe Biden";"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1]";"toxic";"exp";"[0.13052380952380954, 0.12433333333333332, 0.14154761904761903]"
"111";"1258311695077986304_test";"AGAINST";"Joe Biden";"[0, 1, 0, 1, 0, 0, 0, 0, 0, 1]";"non_toxic";"exp";"[0.0296, 0.011319999999999998, 0.02444]"
"112";"1238216539339448321_test";"AGAINST";"Joe Biden";"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]";"toxic";"sta";"[0.20804999999999998, 0.12184999999999999, 0.15265]"
"113";"N/A_test";"AGAINST";"Joe Biden";"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]";"non_toxic";"exp";"[0.17510526315789474, 0.0963157894736842, 0.11889473684210526]"
"114";"N/A_test";"AGAINST";"Joe Biden";"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]";"toxic";"sta";"[0.09053846153846153, 0.07287179487179488, 0.08051282051282051]"
"115";"N/A_test";"AGAINST";"Joe Biden";"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]";"non_toxic";"sta";"[0, 0, 0]"
"116";"N/A_test";"AGAINST";"Joe Biden";"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]";"non_toxic";"exp";"[0.08077777777777778, 0.09522222222222222, 0.07561111111111113]"
"117";"N/A_test";"AGAINST";"Joe Biden";"[0, 0, 0, 0, 0, 1, 0, 1, 0, 0]";"non_toxic";"sta";"[0.0741764705882353, 0.04194117647058823, 0.06058823529411765]"
"118";"1243991271863091200_test";"FAVOR";"Joe Biden";"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]";"toxic";"exp";"[0.11845454545454545, 0.061818181818181814, 0.11154545454545456]"
"119";"N/A_test";"AGAINST";"Joe Biden";"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]";"toxic";"sta";"[0.0679090909090909, 0.07322727272727274, 0.08031818181818182]"
"120";"N/A_test";"AGAINST";"Joe Biden";"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]";"toxic";"sta";"[0.19042307692307694, 0.1675769230769231, 0.20453846153846153]"
"121";"N/A_test";"AGAINST";"Joe Biden";"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0]";"toxic";"sta";"[0.038421052631578946, 0.1258421052631579, 0.06436842105263157]"
"122";"N/A_test";"AGAINST";"Joe Biden";"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]";"non_toxic";"exp";"[0.3724705882352941, 0.21347058823529413, 0.31470588235294117]"
"123";"N/A_test";"AGAINST";"Joe Biden";"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0]";"non_toxic";"exp";"[0.1307307692307692, 0.10919230769230769, 0.1381153846153846]"
"124";"N/A_test";"AGAINST";"Joe Biden";"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]";"non_toxic";"exp";"[0.04768421052631579, 0.04773684210526316, 0.04873684210526316]"
"125";"N/A_test";"FAVOR";"Joe Biden";"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]";"toxic";"oth";"[0.09933333333333333, 0.08529166666666665, 0.11179166666666668]"
"126";"N/A_test";"AGAINST";"Joe Biden";"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]";"non_toxic";"exp";"[0.058653846153846154, 0.07492307692307693, 0.07438461538461538]"
"127";"N/A_test";"AGAINST";"Joe Biden";"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]";"non_toxic";"sta";"[0.16644444444444442, 0.12140740740740741, 0.12722222222222224]"
"128";"N/A_test";"FAVOR";"Joe Biden";"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0]";"toxic";"sta";"[0.12904166666666667, 0.06475, 0.09658333333333334]"
"129";"N/A_test";"AGAINST";"Joe Biden";"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0]";"toxic";"exp";"[0.09779166666666665, 0.088875, 0.09708333333333334]"
"130";"N/A_test";"AGAINST";"Joe Biden";"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0]";"toxic";"exp";"[0.1864074074074074, 0.16581481481481483, 0.18496296296296297]"
"131";"N/A_test";"AGAINST";"Joe Biden";"[0, 1, 0, 1, 1, 0, 0, 0, 0, 0]";"toxic";"sta";"[0.18881250000000002, 0.1963125, 0.208625]"
"132";"1255251363350695939_test";"AGAINST";"Joe Biden";"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0]";"toxic";"sta";"[0, 0, 0]"
"133";"1242158492380729344_test";"AGAINST";"Joe Biden";"[0, 0, 1, 0, 1, 0, 0, 0, 0, 0]";"non_toxic";"exp";"[0.14173684210526313, 0.07336842105263158, 0.09652631578947368]"
"134";"N/A_test";"AGAINST";"Joe Biden";"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]";"toxic";"sta";"[0.1026875, 0.06368750000000001, 0.0735]"
"135";"N/A_test";"AGAINST";"Joe Biden";"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1]";"toxic";"exp";"[0.1785, 0.10123684210526315, 0.1434736842105263]"
"136";"N/A_test";"AGAINST";"Joe Biden";"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]";"toxic";"sta";"[0.10561538461538464, 0.11615384615384614, 0.11900000000000001]"
"137";"1255173751626440704_test";"AGAINST";"Joe Biden";"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]";"non_toxic";"sta";"[0.17544444444444443, 0.09872222222222223, 0.1443888888888889]"
"138";"N/A_test";"AGAINST";"Joe Biden";"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0]";"non_toxic";"sta";"[0.18633333333333332, 0.10266666666666667, 0.15386666666666665]"
"139";"1261822739545030656_test";"AGAINST";"Joe Biden";"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]";"toxic";"sta";"[0.06444444444444443, 0.05644444444444444, 0.05985185185185185]"
"140";"N/A_test";"AGAINST";"Joe Biden";"[0, 1, 0, 0, 1, 0, 0, 1, 0, 0]";"non_toxic";"exp";"[0.12223076923076923, 0.09515384615384614, 0.09392307692307693]"
