;tweetid;stance;emotion;moral;toxic;act;vad
26;1433509246323277824;ambiguous;[0, 1, 0, 1, 0, 0, 0, 0, 0, 1];[0, 1, 0, 0, 1, 0, 0, 0, 0, 1];non_toxic;oth;[0.3339, 0.34059999999999996, 0.298]
27;1460679120115752962;deny;[1, 0, 1, 0, 0, 1, 1, 0, 0, 1];[1, 0, 0, 0, 1, 0, 0, 0, 0, 0];non_toxic;sta;[0.3692, 0.3862, 0.35]
28;1423936404199931909;ambiguous;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 1, 0, 0, 0, 0, 0, 0, 0, 1];non_toxic;oth;[0.38899999999999996, 0.20022222222222222, 0.3407777777777778]
29;1443956179235913735;believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 1, 0, 1, 0, 1, 0, 0, 0];non_toxic;exp;[0.63, 0.37469230769230766, 0.5351538461538461]
30;1446068879172816897;believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[1, 0, 0, 1, 0, 0, 0, 1, 0, 0];non_toxic;oth;[0.5257, 0.3662, 0.4128]
31;1423739231633960962;believe;[0, 0, 0, 1, 0, 0, 0, 0, 0, 1];[0, 1, 0, 0, 0, 0, 0, 0, 0, 1];non_toxic;oth;[0.32792307692307693, 0.3097692307692308, 0.34915384615384615]
32;1433047530393194501;ambiguous;[0, 0, 0, 0, 0, 0, 0, 1, 0, 0];[0, 0, 0, 1, 0, 1, 0, 1, 0, 0];non_toxic;exp;[0.48530769230769233, 0.3251538461538462, 0.4924615384615384]
33;1436283389146013697;believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 1, 0, 1, 0, 0, 0, 1, 0, 0];non_toxic;sta;[0.6229090909090909, 0.4981818181818181, 0.5701818181818182]
34;1441747323952922635;believe;[0, 1, 0, 0, 0, 0, 0, 1, 1, 0];[1, 0, 0, 0, 0, 0, 0, 0, 0, 0];non_toxic;sug;[0.3844166666666667, 0.2655, 0.32475]
35;1423950389540311040;believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1, 0, 1];non_toxic;exp;[0.5146666666666666, 0.32766666666666666, 0.4252222222222222]
36;1446076825298522114;believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0];non_toxic;sta;[0.47908333333333347, 0.3144166666666667, 0.39566666666666667]
37;1442649359481511937;deny;[1, 0, 0, 0, 0, 0, 1, 0, 0, 0];[0, 0, 0, 0, 1, 0, 0, 0, 0, 0];non_toxic;exp;[0.47050000000000003, 0.37370000000000003, 0.3961]
38;1446028071044268034;believe;[0, 1, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 1, 1, 0, 0, 0, 0, 0];non_toxic;exp;[0.642, 0.5726363636363636, 0.704]
39;1426165497977053184;believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0];non_toxic;exp;[0.6765384615384616, 0.5233076923076923, 0.7024615384615385]
40;1438487334572417025;believe;[0, 0, 0, 0, 0, 0, 0, 0, 0, 1];[0, 1, 0, 0, 0, 0, 0, 0, 0, 0];non_toxic;sta;[0.4051538461538461, 0.4085384615384615, 0.4419230769230769]
41;1440951128099860482;believe;[0, 0, 0, 1, 0, 0, 0, 0, 0, 0];[0, 1, 0, 0, 0, 0, 0, 0, 0, 0];non_toxic;oth;[0.53575, 0.379625, 0.4685]
42;1423580943458181127;believe;[0, 0, 0, 1, 0, 0, 1, 0, 0, 1];[1, 0, 0, 0, 0, 0, 1, 0, 0, 0];non_toxic;sug;[0.46162500000000006, 0.500125, 0.50875]
43;1433589977238151176;believe;[0, 0, 0, 0, 0, 0, 0, 1, 1, 0];[0, 1, 0, 0, 0, 0, 0, 0, 0, 1];non_toxic;exp;[0.45883333333333337, 0.3481666666666667, 0.41133333333333333]
44;1432211149160792068;believe;[0, 1, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 1, 0, 0, 0, 1, 0, 0, 0];non_toxic;exp;[0.44683333333333336, 0.33525, 0.3833333333333333]
45;1436441976392585223;believe;[1, 0, 0, 1, 0, 0, 0, 0, 0, 1];[0, 1, 0, 0, 0, 0, 0, 0, 0, 0];non_toxic;exp;[0.5849, 0.476, 0.5319]
46;1423357879722016770;believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 1, 0, 0, 0, 0, 0, 0, 0, 0];non_toxic;exp;[0.40279999999999994, 0.30290000000000006, 0.38560000000000005]
47;1423325094177345536;ambiguous;[0, 1, 0, 1, 0, 1, 0, 0, 0, 1];[1, 0, 0, 0, 1, 0, 1, 0, 0, 0];non_toxic;sta;[0.4937272727272728, 0.5569090909090909, 0.5549999999999999]
48;1456973091532324872;believe;[1, 1, 0, 1, 1, 0, 1, 0, 0, 0];[0, 1, 0, 1, 0, 0, 0, 0, 0, 0];non_toxic;exp;[0.507, 0.4074444444444445, 0.4993333333333333]
49;1438912735966810114;believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1, 0, 0];non_toxic;exp;[0.5768888888888889, 0.3373333333333333, 0.4692222222222222]
50;1507436335136747531;deny;[0, 0, 0, 1, 0, 0, 0, 0, 0, 1];[0, 1, 0, 0, 1, 0, 0, 0, 0, 0];non_toxic;oth;[0.39925000000000005, 0.38208333333333333, 0.4054166666666666]
51;1438422066903007237;believe;[0, 0, 0, 0, 0, 0, 0, 0, 0, 1];[0, 1, 0, 0, 0, 0, 0, 0, 0, 1];non_toxic;oth;[0.5026153846153847, 0.4763076923076923, 0.5464615384615384]
52;1428852038595608577;believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 1, 0, 0, 0, 0, 0, 1, 0, 0];non_toxic;sta;[0.6551538461538461, 0.4594615384615385, 0.6320769230769231]
53;1431240083177459713;ambiguous;[0, 1, 0, 0, 1, 0, 1, 0, 1, 0];[1, 0, 1, 0, 1, 0, 0, 0, 0, 0];non_toxic;sug;[0.42490909090909085, 0.3055454545454545, 0.3640909090909091]
54;1441304125346439169;believe;[0, 0, 0, 0, 1, 0, 0, 0, 1, 0];[0, 1, 0, 0, 0, 0, 0, 0, 0, 0];non_toxic;exp;[0.5, 0.3975, 0.5014]
55;1425118956340142080;believe;[0, 0, 0, 1, 0, 0, 0, 0, 0, 0];[0, 0, 1, 0, 0, 0, 0, 0, 0, 0];non_toxic;sug;[0.4011818181818182, 0.3686363636363636, 0.46609090909090917]
56;1428235698499473410;ambiguous;[1, 0, 0, 0, 0, 1, 0, 0, 0, 1];[0, 0, 0, 0, 1, 0, 0, 0, 1, 0];non_toxic;sta;[0.59975, 0.479625, 0.5965]
57;1422583784977965064;ambiguous;[0, 0, 0, 0, 0, 1, 0, 1, 0, 0];[0, 0, 0, 0, 0, 0, 0, 0, 0, 1];non_toxic;sta;[0.4604285714285714, 0.40442857142857136, 0.4991428571428571]
58;1428658442533752837;believe;[0, 1, 0, 0, 1, 0, 1, 1, 1, 0];[0, 1, 0, 1, 0, 0, 0, 0, 0, 0];non_toxic;sta;[0.5148461538461538, 0.2955384615384615, 0.3763076923076923]
59;1420818877848559616;believe;[0, 1, 0, 0, 0, 0, 0, 0, 1, 0];[1, 0, 0, 0, 0, 0, 0, 0, 0, 0];non_toxic;exp;[0.4711428571428571, 0.32228571428571423, 0.4105714285714286]
60;1443585914425331722;believe;[0, 1, 0, 0, 0, 0, 0, 0, 0, 0];[0, 0, 1, 0, 0, 0, 0, 0, 0, 0];non_toxic;oth;[0.6485, 0.4731250000000001, 0.569625]
61;1434576884474335232;ambiguous;[0, 0, 0, 1, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 1, 0, 0, 0, 0, 1];non_toxic;exp;[0.4671, 0.466, 0.5006]
62;1431351316056473602;believe;[0, 0, 0, 0, 1, 1, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 1, 0, 1, 0];non_toxic;oth;[0.3458, 0.22410000000000002, 0.261]
63;1441391567550353420;believe;[0, 1, 0, 0, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0];non_toxic;exp;[0.466, 0.5090999999999999, 0.5433]
64;1438089010430234624;believe;[0, 1, 0, 0, 0, 0, 0, 0, 1, 0];[0, 1, 0, 1, 0, 0, 0, 0, 0, 0];non_toxic;exp;[0.5350909090909091, 0.30500000000000005, 0.45872727272727276]
65;1424595134151217154;believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[1, 0, 0, 0, 0, 0, 0, 0, 0, 0];non_toxic;exp;[0.5088333333333334, 0.4948333333333334, 0.5098333333333334]
66;1440483443188502532;believe;[0, 1, 1, 0, 0, 0, 0, 0, 0, 1];[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];non_toxic;exp;[0.39316666666666666, 0.3385, 0.37141666666666673]
67;1434805108563484672;believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 1, 0, 0, 0, 0, 0, 0, 0, 0];non_toxic;exp;[0.6192222222222221, 0.4696666666666666, 0.5224444444444445]
68;1423271407543275522;believe;[0, 1, 0, 0, 0, 0, 0, 0, 1, 0];[0, 1, 0, 0, 0, 0, 0, 0, 1, 0];non_toxic;exp;[0.8137777777777777, 0.6035555555555556, 0.7762222222222223]
69;1435568888566231043;believe;[0, 0, 0, 0, 0, 0, 0, 1, 1, 0];[0, 0, 0, 1, 1, 0, 0, 0, 0, 0];non_toxic;sta;[0.48816666666666664, 0.34833333333333333, 0.4237499999999999]
70;1440665957374980104;believe;[0, 0, 0, 0, 0, 0, 0, 1, 0, 0];[0, 0, 1, 0, 1, 0, 0, 0, 0, 0];non_toxic;sta;[0.5876363636363636, 0.4008181818181818, 0.5183636363636364]
71;1421685848278372354;believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 1, 0, 1, 0, 0];non_toxic;exp;[0.487, 0.38622222222222224, 0.4504444444444445]
72;1562862395407486977;deny;[0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[0, 0, 0, 1, 0, 0, 0, 1, 0, 0];non_toxic;oth;[0.40599999999999997, 0.28541666666666665, 0.3413333333333333]
73;1431188242100068352;believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 1, 0, 0, 0, 0, 0, 0, 0];non_toxic;exp;[0.5728666666666666, 0.4742666666666666, 0.5812666666666666]
74;1426574867902746627;believe;[0, 0, 0, 0, 0, 0, 1, 0, 0, 0];[0, 1, 0, 0, 1, 0, 0, 0, 0, 0];non_toxic;exp;[0.3792, 0.2136, 0.33630000000000004]
75;1556065646898810880;deny;[0, 0, 0, 0, 0, 0, 0, 0, 0, 1];[0, 0, 0, 1, 0, 1, 0, 0, 0, 0];non_toxic;oth;[0.5610833333333333, 0.41491666666666666, 0.48524999999999996]
76;1441509005784985605;believe;[0, 1, 0, 0, 0, 0, 0, 0, 0, 0];[0, 1, 0, 0, 0, 0, 0, 1, 0, 0];non_toxic;sug;[0.45618181818181824, 0.32036363636363635, 0.4129999999999999]
77;1434263926699593731;believe;[1, 1, 1, 1, 1, 1, 0, 1, 0, 0];[0, 0, 0, 0, 1, 0, 1, 0, 0, 0];non_toxic;exp;[0.38639999999999997, 0.32639999999999997, 0.34809999999999997]
78;1436393870049304579;ambiguous;[0, 0, 0, 1, 0, 0, 0, 1, 0, 0];[0, 0, 0, 0, 0, 0, 1, 0, 1, 0];non_toxic;exp;[0.5530909090909091, 0.42018181818181816, 0.5028181818181818]
79;1433433053276164102;believe;[0, 1, 0, 0, 0, 0, 0, 0, 0, 0];[1, 0, 0, 0, 0, 1, 0, 0, 0, 0];non_toxic;oth;[0.523142857142857, 0.36949999999999994, 0.5088571428571428]
80;1422127380190072832;ambiguous;[0, 1, 0, 0, 1, 0, 1, 1, 1, 0];[0, 1, 0, 0, 0, 0, 0, 1, 0, 0];non_toxic;sta;[0.30766666666666664, 0.3363333333333333, 0.3582222222222222]
81;1438540616502333450;believe;[0, 1, 0, 1, 0, 0, 1, 0, 0, 0];[0, 0, 1, 0, 1, 0, 0, 0, 0, 0];non_toxic;oth;[0.53425, 0.42849999999999994, 0.47225]
82;1431739661211389958;believe;[0, 0, 0, 0, 1, 0, 0, 0, 0, 0];[0, 0, 1, 0, 0, 0, 1, 0, 0, 1];non_toxic;sta;[0.5498666666666666, 0.40226666666666666, 0.44859999999999994]
83;1440679602326704146;believe;[0, 1, 0, 0, 0, 0, 0, 0, 1, 0];[1, 0, 0, 0, 0, 0, 1, 0, 0, 0];non_toxic;exp;[0.566, 0.48592307692307696, 0.5376153846153845]
84;1427946764586323968;believe;[0, 0, 0, 0, 0, 0, 0, 0, 0, 1];[1, 0, 0, 0, 1, 0, 0, 1, 0, 0];non_toxic;oth;[0.7341, 0.5141, 0.6978000000000001]
85;1433775885744701445;believe;[0, 0, 0, 1, 0, 0, 0, 0, 0, 0];[0, 1, 0, 0, 0, 0, 0, 0, 0, 0];non_toxic;exp;[0.41916666666666663, 0.41025, 0.43100000000000005]
86;1439956020114120705;believe;[0, 1, 0, 0, 1, 0, 1, 1, 1, 0];[0, 1, 0, 0, 1, 0, 0, 0, 0, 0];non_toxic;exp;[0.5314444444444445, 0.48255555555555557, 0.6035555555555555]
87;1422200712440733697;believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 1, 0, 0, 0, 1, 0, 0, 0];non_toxic;exp;[0.6455000000000001, 0.361, 0.599375]
88;1425283331550334978;ambiguous;[0, 0, 0, 0, 1, 0, 0, 0, 1, 0];[1, 0, 0, 0, 1, 0, 0, 0, 0, 0];non_toxic;exp;[0.7884999999999999, 0.5129, 0.6651]
89;1428612772040900616;believe;[1, 0, 0, 1, 0, 0, 0, 0, 0, 1];[1, 0, 0, 0, 0, 0, 1, 0, 0, 0];non_toxic;exp;[0.5246666666666666, 0.41300000000000003, 0.509888888888889]
90;1577098613234470912;deny;[1, 0, 1, 0, 0, 1, 1, 0, 0, 1];[0, 0, 0, 0, 0, 1, 0, 0, 0, 0];non_toxic;exp;[0.43125, 0.28512499999999996, 0.43150000000000005]
91;1433847081311997956;believe;[1, 0, 1, 1, 0, 1, 1, 0, 0, 1];[0, 1, 0, 1, 0, 0, 0, 0, 0, 0];non_toxic;sta;[0.34299999999999997, 0.4301538461538462, 0.36046153846153844]
92;1455645952304369666;deny;[1, 0, 0, 0, 0, 1, 0, 0, 0, 1];[0, 0, 0, 0, 0, 0, 0, 0, 0, 1];non_toxic;sta;[0.26438461538461533, 0.3026153846153846, 0.24323076923076922]
93;1441328254015586319;believe;[1, 0, 0, 0, 0, 0, 0, 0, 0, 1];[0, 0, 1, 0, 0, 0, 0, 0, 0, 0];non_toxic;exp;[0.4721666666666667, 0.4506666666666666, 0.4798333333333333]
94;1428247705860644864;ambiguous;[0, 0, 0, 1, 0, 1, 0, 0, 0, 1];[0, 1, 0, 0, 0, 0, 0, 0, 0, 0];non_toxic;sug;[0.18172727272727274, 0.2000909090909091, 0.20563636363636364]
95;1424806673609277440;believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 1, 0, 0, 0, 0, 0, 0, 0, 0];non_toxic;sug;[0.547, 0.30872727272727274, 0.4349090909090909]
96;1428510511860043776;ambiguous;[1, 1, 0, 0, 1, 0, 1, 1, 1, 0];[0, 0, 1, 0, 0, 1, 1, 0, 0, 0];non_toxic;sta;[0.5226666666666667, 0.3475, 0.4668333333333334]
97;1449774297434791943;believe;[0, 0, 0, 0, 1, 0, 0, 0, 1, 0];[0, 1, 0, 0, 0, 0, 0, 0, 0, 0];non_toxic;exp;[0.4727, 0.3518, 0.3843]
98;1471450366411739140;deny;[1, 0, 1, 0, 0, 1, 1, 1, 0, 1];[0, 0, 0, 0, 1, 0, 0, 0, 0, 0];non_toxic;exp;[0.4614285714285714, 0.3357142857142857, 0.3831428571428571]
99;1432559980683546626;ambiguous;[0, 0, 0, 1, 0, 0, 0, 0, 0, 0];[0, 1, 0, 0, 1, 0, 0, 0, 0, 0];non_toxic;oth;[0.3662, 0.4936, 0.49240000000000006]
100;1440165628082470926;believe;[0, 0, 0, 0, 0, 0, 0, 1, 1, 0];[0, 1, 0, 1, 0, 0, 0, 0, 0, 1];non_toxic;sug;[0.5628333333333334, 0.3787500000000001, 0.47800000000000004]
101;1425817803710509057;believe;[0, 0, 0, 0, 1, 0, 0, 0, 1, 0];[0, 1, 0, 0, 0, 0, 0, 0, 1, 0];non_toxic;que;[0.646, 0.47963636363636364, 0.6303636363636363]
102;1431338730602868744;ambiguous;[0, 0, 0, 0, 1, 0, 0, 1, 1, 0];[1, 0, 0, 0, 1, 0, 0, 0, 0, 0];non_toxic;sug;[0.6066666666666667, 0.4068888888888889, 0.5263333333333333]
103;1429067763344097285;ambiguous;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[1, 0, 0, 0, 0, 0, 0, 1, 0, 0];non_toxic;que;[0.7152999999999999, 0.4492999999999999, 0.5753]
104;1571165486200590339;deny;[0, 0, 0, 0, 0, 1, 0, 0, 0, 1];[1, 0, 1, 0, 0, 0, 0, 0, 0, 0];non_toxic;exp;[0.30500000000000005, 0.3907142857142856, 0.3195714285714285]
105;1426097783551975424;believe;[0, 0, 0, 0, 0, 0, 0, 1, 0, 0];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0];non_toxic;exp;[0.5791000000000001, 0.3626, 0.5356]
106;1430189569828220937;ambiguous;[0, 1, 0, 0, 0, 0, 0, 0, 1, 0];[1, 0, 0, 0, 0, 0, 0, 1, 0, 0];non_toxic;sta;[0.6669999999999999, 0.433, 0.65]
107;1432363899593101318;ambiguous;[0, 0, 0, 0, 1, 0, 0, 1, 1, 0];[0, 0, 1, 0, 0, 0, 1, 0, 0, 0];non_toxic;exp;[0.717, 0.3176666666666667, 0.6385]
108;1446558921095798785;believe;[0, 0, 0, 0, 0, 1, 0, 0, 0, 1];[1, 0, 0, 0, 0, 0, 0, 0, 1, 0];non_toxic;sta;[0.39133333333333337, 0.28144444444444444, 0.3543333333333333]
109;1575257114443915264;deny;[1, 0, 1, 0, 0, 1, 1, 0, 0, 1];[0, 1, 0, 0, 0, 0, 0, 0, 0, 1];toxic;exp;[0.2055, 0.23437499999999997, 0.216]
110;1425323088997146626;believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 1, 0, 0, 0];non_toxic;exp;[0.6584285714285715, 0.493, 0.6127142857142857]
111;1420868129928982532;ambiguous;[0, 0, 0, 0, 0, 0, 0, 1, 1, 0];[1, 0, 0, 0, 0, 0, 0, 0, 0, 0];non_toxic;exp;[0.6421666666666668, 0.36291666666666655, 0.5189166666666666]
112;1430976028344610818;ambiguous;[0, 0, 0, 0, 0, 0, 0, 0, 0, 1];[0, 1, 0, 0, 0, 0, 0, 0, 0, 0];non_toxic;exp;[0.271, 0.291, 0.32171428571428573]
113;1421172210732085250;believe;[0, 1, 0, 0, 1, 0, 1, 1, 1, 0];[0, 0, 0, 1, 0, 0, 0, 0, 0, 0];non_toxic;exp;[0.6297692307692307, 0.30546153846153845, 0.4724615384615385]
114;1430844135150440449;ambiguous;[0, 0, 0, 0, 0, 0, 0, 1, 1, 0];[0, 1, 0, 0, 1, 0, 0, 0, 0, 0];non_toxic;oth;[0.38675, 0.27499999999999997, 0.409]
115;1574821471100309522;deny;[0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[0, 1, 0, 0, 1, 0, 0, 0, 1, 0];non_toxic;exp;[0.5057499999999999, 0.45262499999999994, 0.47737500000000005]
116;1420452208286474242;believe;[0, 0, 0, 1, 0, 0, 0, 0, 0, 0];[0, 1, 0, 0, 0, 0, 0, 0, 0, 0];non_toxic;sta;[0.5258181818181819, 0.41345454545454546, 0.4647272727272727]
117;1439049203376955403;believe;[0, 0, 0, 0, 0, 0, 0, 1, 1, 0];[0, 0, 0, 0, 0, 1, 0, 0, 0, 1];non_toxic;sta;[0.9907999999999999, 0.6512, 0.8197999999999999]
118;1429670997595205635;ambiguous;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1, 0, 0];non_toxic;exp;[0.4740000000000001, 0.2784615384615384, 0.42069230769230764]
119;1424749893441130497;believe;[0, 1, 0, 0, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 1, 0, 0, 0, 0, 0];non_toxic;sug;[0.6065, 0.370875, 0.538125]
120;1495463864955195397;deny;[0, 1, 0, 0, 0, 0, 0, 1, 0, 0];[0, 1, 0, 0, 1, 0, 1, 0, 0, 0];non_toxic;sta;[0.39075, 0.247, 0.3735]
121;1460223052654923778;deny;[0, 1, 0, 0, 0, 0, 0, 0, 0, 0];[0, 0, 0, 1, 0, 0, 0, 0, 0, 0];non_toxic;sta;[0.2139375, 0.1729375, 0.19837500000000002]
122;1423589075085320192;ambiguous;[0, 0, 0, 1, 0, 0, 0, 0, 0, 0];[0, 1, 0, 0, 0, 0, 0, 0, 0, 1];non_toxic;exp;[0.7562, 0.4909, 0.6897]
123;1577048313412538368;deny;[0, 0, 0, 1, 0, 0, 0, 0, 0, 0];[0, 1, 0, 1, 0, 0, 0, 0, 0, 0];non_toxic;oth;[0.17933333333333332, 0.3034444444444444, 0.29588888888888887]
124;1422676094331678720;ambiguous;[1, 0, 0, 1, 0, 0, 1, 0, 1, 0];[0, 1, 0, 0, 0, 0, 0, 0, 0, 0];non_toxic;exp;[0.47750000000000004, 0.255, 0.3599]
125;1441563505648230402;believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 1, 0, 0, 0, 0, 1, 0, 0, 0];non_toxic;exp;[0.5046923076923077, 0.4077692307692308, 0.5031538461538462]
